,Restoran
0,starbucks-muratpasa-mah-gaziosmanpasa-istanbul
1,coffy-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
2,perast-coffee-co-yildirim-mah-bayrampasa-istanbul
3,holaa-coffee-house-yildirim-mah-bayrampasa-istanbul
4,nevada-coffee-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul-2
5,perast-coffee-co-yildirim-mah-bayrampasa-istanbul
6,espressolab-islambey-mah-eyupsultan-istanbul
7,burger-king-cafe-yenidogan-mah-bayrampasa-istanbul
8,kahve-saati-merkez-gaziosmanpasa-istanbul
9,kahve-dunyasi-muratpasa-mah-gaziosmanpasa-istanbul
